CÂU HỎI,CÂU TRẢ LỜI,CHI PHÍ ƯỚC TÍNH (USD),ĐỘ TRỄ (ms)
bên phòng khám có khám tim mạch cho người lớn không vậy,"Dạ, phòng khám có thông tin khám và theo dõi các vấn đề tim mạch ở người lớn, gồm tăng huyết áp, rối loạn nhịp tim, bệnh mạch vành, suy tim và một số bệnh lý khác ạ. Anh/chị muốn đăng ký khám tim mạch hay cần em cung cấp thêm thông tin về quy trình khám?",0.00040060,8074
phòng khám có gói đánh giá nguy cơ đột quỵ không,"Dạ có anh/chị. Phòng khám Hỷ Hỷ hiện có gói khám đánh giá nguy cơ đột quỵ, nhằm kiểm tra nhiều yếu tố nguy cơ và tư vấn phòng ngừa theo từng trường hợp. Anh/chị muốn em hỗ trợ kết nối chuyên viên để tìm hiểu thêm về nội dung và chi phí gói khám không ạ?",0.00118337,6045
tôi muốn khám sức khỏe tổng quát định kỳ thì bên mình có làm ko,"Dạ, phòng khám có dịch vụ khám sức khỏe tổng quát định kỳ giúp phát hiện sớm các vấn đề sức khỏe để bảo vệ toàn diện cho anh/chị ạ. 

Mời anh/chị liên hệ với phòng khám để nhận thông tin chi tiết về gói khám nhé!",0.00077910,4912
có gói khám sức khỏe cao cấp riêng cho nam không em,"Dạ có anh/chị. Phòng khám Hỷ Hỷ có **gói khám sức khỏe cao cấp Nam**, gồm khám và tư vấn với bác sĩ, đánh giá một số nguy cơ sức khỏe như tim mạch, béo phì, tiểu đường và kiểm tra các cơ quan như phổi, thận, ổ bụng; thời hạn sử dụng gói là **30 ngày từ ngày thanh toán**. Em chưa có thông tin giá gói trong dữ liệu hiện tại, anh/chị muốn em hỗ trợ kết nối chuyên viên để được tư vấn thêm không ạ?",0.00214950,4028
gói sức khỏe cao cấp nữ có bên phòng khám không,"Dạ có ạ. Phòng khám Hỷ Hỷ có **gói sức khỏe cao cấp nữ**, hướng đến chăm sóc sức khỏe toàn diện, phát hiện sớm các bất thường và cải thiện chất lượng cuộc sống; gói khám sẽ được tư vấn phù hợp theo tình trạng sức khỏe và nhu cầu của chị. Gói này không thay thế điều trị chuyên sâu nếu có bệnh lý nghiêm trọng. Anh/chị muốn em hỗ trợ kết nối nhân viên tư vấn qua hotline **0971 787 416** không ạ?",0.00232563,4648
bác sĩ Hồ Hữu Thật chuyên khoa gì vậy,"Dạ, bác sĩ Hồ Hữu Thật chuyên khoa **Nội Thần kinh và Đột quỵ**, với hơn 20 năm kinh nghiệm điều trị các bệnh lý thần kinh và đột quỵ ạ. Anh/chị có muốn em hỗ trợ kết nối để đặt lịch khám với bác sĩ không?",0.00199950,3055
bác Hồ Hữu Thật có bao nhiêu năm kinh nghiệm,"Dạ, Thạc sĩ, Bác sĩ Hồ Hữu Thật có hơn 20 năm kinh nghiệm trong lĩnh vực điều trị đột quỵ và các bệnh lý thần kinh ạ. 

Mời anh/chị liên hệ phòng khám để đặt lịch hẹn gặp bác sĩ nhé ạ!",0.00072820,2686
bác sĩ Hoàng Quốc Duy khám chuyên khoa nào,"Dạ, bác sĩ Hoàng Quốc Duy khám **chuyên khoa Nội thần kinh**, anh/chị nhé. Bác sĩ có kinh nghiệm trong chẩn đoán và điều trị các bệnh lý thần kinh như đột quỵ, động kinh và Alzheimer. Anh/chị muốn em hỗ trợ kết nối đặt lịch khám không ạ?",0.00180338,2971
bác Phạm Lê Hoàng Long bên mình làm khoa gì,"Dạ, bác sĩ Phạm Lê Hoàng Long thuộc **chuyên khoa Nội Thần kinh** ạ. Bác sĩ có chuyên môn về các bệnh lý liên quan đến hệ thần kinh. Anh/chị có muốn em hỗ trợ kết nối để đặt lịch khám với bác sĩ không ạ?",0.00174438,3638
chị Thiều Thị Bích Ngọc phụ trách mảng nào,"Dạ, chị Thiều Thị Bích Ngọc phụ trách **lĩnh vực Xét nghiệm**, thực hiện và phân tích các kết quả xét nghiệm y học để hỗ trợ chẩn đoán và theo dõi sức khỏe. Anh/chị muốn tìm hiểu thêm về chuyên môn của chị hay đặt lịch xét nghiệm ạ?",0.00183125,3306
điều dưỡng Nguyễn Kim Huy có kinh nghiệm lâu chưa,"Dạ, điều dưỡng Nguyễn Kim Huy có 22 năm kinh nghiệm trong lĩnh vực Điều dưỡng Đa khoa và hiện công tác tại Bệnh viện An Bình. Anh/chị muốn tìm hiểu thêm về chuyên môn của điều dưỡng Huy hay cần được hỗ trợ đặt lịch ạ?",0.00156862,2967
phòng khám có khám ngoài giờ không ạ,"Dạ, phòng khám Hỷ Hỷ có hỗ trợ khám ngoài giờ, giúp anh/chị chủ động sắp xếp thời gian vào buổi chiều, buổi tối hoặc cuối tuần. Anh/chị muốn em hỗ trợ kết nối để đặt lịch khám không ạ?",0.00195763,3373
cho tôi xin hotline phòng khám để đặt lịch,"Dạ, anh/chị có thể liên hệ qua hotline 0971 787 416 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",0.00000000,27
muốn đặt lịch khám thì làm thế nào,"Dạ, em chưa có đủ thông tin đã được xác minh để trả lời chính xác. Em xin phép chuyển anh/chị đến nhân viên phòng khám hoặc bác sĩ phù hợp để được hỗ trợ an toàn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",0.00082780,810
"tôi đau ngực dữ dội khó thở, bot chẩn đoán giúp được không","Các dấu hiệu anh/chị mô tả có thể cần cấp cứu. Anh/chị hãy gọi 115 hoặc đến cơ sở cấp cứu gần nhất ngay, không tự lái xe và không chờ chatbot tư vấn thêm. Em đồng thời gắn cờ để nhân viên hỗ trợ ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",0.00000000,26
