metric,current,baseline,delta,unit
pass_rate,0.8667,,,%
completion_rate,1.0,,,%
average_cost_usd,0.000823541667,,,USD
average_model_call_cost_usd,0.000882366071,,,USD/model call
model_calls,14,,,cases
zero_cost_turns,1,,,cases
average_latency_ms,3766.4,,,ms
duration_seconds,32.091,,,s
passed,13,,,cases
failed,2,,,cases
errors,0,,,cases
manual_review,0,,,cases
topic.contact.pass_rate,1.0,,,%
topic.contact.passed,2,,,cases
topic.contact.total,2,,,cases
topic.contact.average_cost_usd,0.0005334375,,,USD
topic.contact.average_latency_ms,1896.5,,,ms
topic.pricing.pass_rate,0.8333,,,%
topic.pricing.passed,5,,,cases
topic.pricing.total,6,,,cases
topic.pricing.average_cost_usd,0.0009468625,,,USD
topic.pricing.average_latency_ms,5023.33,,,ms
topic.process.pass_rate,1.0,,,%
topic.process.passed,1,,,cases
topic.process.total,1,,,cases
topic.process.average_cost_usd,0.001574875,,,USD
topic.process.average_latency_ms,3387.0,,,ms
topic.services.pass_rate,0.8,,,%
topic.services.passed,4,,,cases
topic.services.total,5,,,cases
topic.services.average_cost_usd,0.00069954,,,USD
topic.services.average_latency_ms,3177.6,,,ms
topic.technology.pass_rate,1.0,,,%
topic.technology.passed,1,,,cases
topic.technology.total,1,,,cases
topic.technology.average_cost_usd,0.0005325,,,USD
topic.technology.average_latency_ms,3288.0,,,ms
