tenant_id,id,topic,status,score,question,reply,failed_checks,diagnostic_stage,cost_usd,latency_ms
mima_internal,MIMA01,pricing,FAIL,0.5,"Bên mình có mấy gói làm web, giá từng gói sao em?","Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",,blocked_output,0.0019450000000000001,12419
mima_internal,MIMA02,pricing,PASS,1.0,gói basic 2tr gồm những gì vậy,"Dạ, gói Website Basic 2.000.000đ gồm: giao diện mẫu, kết nối mạng xã hội, khách tự cập nhật nội dung, tiện ích Zalo/nút gọi/chat ngay, livechat, chống copy, đóng dấu sản phẩm và popup đầu trang. Gói chưa có mã nguồn, tối ưu SEO hay giỏ hàng ạ. 

Anh/chị có muốn đăng ký gói này không ạ?",,completed,0.0004318,2958
mima_internal,MIMA03,pricing,PASS,1.0,"gói phổ thông giá nhiêu, có bàn giao code không em","Dạ, gói website phổ thông có giá 6.000.000đ và có bàn giao source code anh/chị nhé. 

Anh/chị có muốn em tư vấn chi tiết hơn về gói này không ạ?",,completed,0.0004249,3000
mima_internal,MIMA04,pricing,PASS,1.0,web khởi nghiệp bên em có bản mobile chưa,"Dạ có anh/chị nhé. Gói Website khởi nghiệp có phiên bản tương thích mobile và tablet, đồng thời thiết kế giao diện theo yêu cầu. Anh/chị muốn em tư vấn thêm về các hạng mục của gói này không ạ?",,completed,0.001027375,4677
mima_internal,MIMA05,pricing,PASS,1.0,gói chuyên nghiệp 12 triệu đã có ssl đúng không,"Dạ đúng rồi anh/chị ạ, gói Website chuyên nghiệp giá 12.000.000đ đã được tích hợp chứng chỉ số SSL anh/chị nhé. 

Anh/chị có muốn em tư vấn thêm chi tiết về gói này không ạ?",,completed,0.0003406,2297
mima_internal,MIMA06,pricing,PASS,1.0,gói cao cấp khác chuyên nghiệp chỗ nào,"Gói Website cao cấp có giá **17.000.000đ**, cao hơn gói chuyên nghiệp **12.000.000đ**. Ngoài các tính năng của gói chuyên nghiệp, gói cao cấp được bổ sung **giỏ hàng**, **hỗ trợ song ngữ**, đồng thời tặng **30 bài viết chuẩn SEO** và **500 chủ đề SEO**. Gói chuyên nghiệp có **SSL**, tặng **20 bài viết chuẩn SEO** và **500 chủ đề SEO**, nhưng chưa hỗ trợ giỏ hàng và song ngữ. Anh/chị muốn em tư vấn gói phù hợp theo loại website của mình không ạ?",,completed,0.0015115,4789
mima_internal,MIMA07,process,PASS,1.0,trước khi code anh có được duyệt và sửa giao diện không,"Dạ có anh/chị. Trước khi lập trình, anh/chị sẽ được duyệt giao diện và có thể chỉnh sửa màu sắc, bố cục phù hợp với nhận diện thương hiệu. Quy trình gồm bước thiết kế UX/UI trước rồi mới chuyển sang lập trình. Anh/chị muốn ưu tiên chỉnh phần màu sắc, bố cục hay tính năng nào trước ạ?",,completed,0.001574875,3387
mima_internal,MIMA08,services,PASS,1.0,hosting seo bên mình có uptime bao nhiêu,"Dạ, dịch vụ Hosting SEO của MIMA có uptime 99,9% ạ.",,completed,0.0007317000000000001,4755
mima_internal,MIMA09,services,FAIL,0.5,mima có hỗ trợ đăng ký với quản lý tên miền không,"Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",,blocked_output,0.0002452,1369
mima_internal,MIMA10,services,PASS,1.0,seo tổng thể bên em làm những hạng mục nào vậy,"Dạ, dịch vụ SEO tổng thể của MIMA bao gồm: nghiên cứu từ khóa, tối ưu cấu trúc website, viết bài chuẩn SEO, link building, entity SEO, schema markup, tăng traffic người dùng thật và xây dựng backlink ạ. 

Anh/chị có muốn em tư vấn chi tiết hơn về quy trình không ạ?",,completed,0.0005249,2787
mima_internal,MIMA11,services,PASS,1.0,làm backlink thì giúp web cái gì,"Dạ, dịch vụ Backlink của MIMA giúp tăng uy tín với Google, cải thiện thứ hạng từ khóa và hỗ trợ SEO bền vững, ổn định lâu dài ạ. 

Anh/chị có muốn em kết nối với chuyên viên tư vấn để trao đổi chi tiết hơn không ạ?",,completed,0.0003394,3178
mima_internal,MIMA12,contact,PASS,1.0,cho anh xin hotline của công ty,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",,completed,0.0,831
mima_internal,MIMA13,contact,PASS,1.0,văn phòng mima ở địa chỉ nào em,"Văn phòng MIMA tại: **31/3B Ấp Thới Tứ 1, Xã Đông Thạnh, TP. Hồ Chí Minh**.  
Anh/chị cần em hỗ trợ thêm thông tin liên hệ không ạ?",,completed,0.001066875,2962
mima_internal,MIMA14,services,PASS,1.0,bên mình ngoài làm web còn dịch vụ gì nữa,"Dạ, ngoài thiết kế website, MIMA còn cung cấp các dịch vụ: thiết kế app, hosting, tên miền, SEO website/fanpage/maps, chăm sóc website và fanpage, tạo profile & Google Maps, chạy quảng cáo, email hosting và sản xuất video giới thiệu.  
Anh/chị đang quan tâm thêm dịch vụ nào để em tư vấn cụ thể hơn ạ?",,completed,0.0016565,3799
mima_internal,MIMA15,technology,PASS,1.0,MIMA dùng công nghệ nào để làm website,"MIMA sử dụng CMS, công cụ quản lý source code và tiến độ, ngôn ngữ lập trình web động, cùng Framework kết hợp các thư viện như Redux, React Router, Axios và Material-UI. Anh/chị cần tư vấn thêm, hãy liên hệ MIMA ạ.",,completed,0.0005325,3288
phongkham_hyhy,CLINIC01,specialty,PASS,1.0,bên phòng khám có khám tim mạch cho người lớn không vậy,"Dạ, phòng khám có thông tin khám và theo dõi các vấn đề tim mạch ở người lớn, gồm tăng huyết áp, rối loạn nhịp tim, bệnh mạch vành, suy tim và một số bệnh lý khác ạ. Anh/chị muốn đăng ký khám tim mạch hay cần em cung cấp thêm thông tin về quy trình khám?",,completed,0.0004006,8074
phongkham_hyhy,CLINIC02,packages,PASS,1.0,phòng khám có gói đánh giá nguy cơ đột quỵ không,"Dạ có anh/chị. Phòng khám Hỷ Hỷ hiện có gói khám đánh giá nguy cơ đột quỵ, nhằm kiểm tra nhiều yếu tố nguy cơ và tư vấn phòng ngừa theo từng trường hợp. Anh/chị muốn em hỗ trợ kết nối chuyên viên để tìm hiểu thêm về nội dung và chi phí gói khám không ạ?",,completed,0.001183375,6045
phongkham_hyhy,CLINIC03,packages,PASS,1.0,tôi muốn khám sức khỏe tổng quát định kỳ thì bên mình có làm ko,"Dạ, phòng khám có dịch vụ khám sức khỏe tổng quát định kỳ giúp phát hiện sớm các vấn đề sức khỏe để bảo vệ toàn diện cho anh/chị ạ. 

Mời anh/chị liên hệ với phòng khám để nhận thông tin chi tiết về gói khám nhé!",,completed,0.0007791,4912
