id,type,input_style,status,passed,score,pass_score,question,reply,failed_checks,need_human,guardrail_blocked,model,cost_vnd,model_called,latency_ms,trace_id,diagnostic_stage,judge_reason,error
Q001,normal,accented,FAIL,False,0.3333,1.0,Thiết kế website bao nhiêu tiền?,Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,must_contain:2.000.000; must_contain:gói,True,True,gemini-3.5-flash-lite,22.841,True,1983,36da93b1-23c7-45e5-a819-46cc854d5658,blocked_output,,
Q002,normal,accented,PASS,True,1.0,1.0,Gói Website Basic có giá bao nhiêu?,"Dạ, gói Website Basic có giá là 2.000.000đ với các tính năng như dùng giao diện mẫu có sẵn, kết nối mạng xã hội, tích hợp tiện ích Zalo, nút gọi, chat ngay và chống copy nội dung ạ. Tuy nhiên, gói này chưa bao gồm source code, SSL hay tối ưu SEO anh/chị nhé. Anh/chị có muốn tìm hiểu thêm về các tính năng chi tiết của gói này không ạ?",,False,False,gemini-3.5-flash-lite,17.4356,True,2133,64c197ea-bb38-41bc-92e0-02b540079348,completed,,
Q003,normal,accented,PASS,True,1.0,1.0,Cho anh xin số hotline của MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",,False,False,gemini-3.5-flash-lite,0.0,False,19,c9dc4e21-a8b7-414d-8748-ae4662890b71,completed,,
Q004,normal,accented,PASS,True,1.0,1.0,Dịch vụ SEO có giá cố định không?,Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,,False,False,gemini-3.5-flash-lite,14.5106,True,1802,a823d1be-edb9-40a1-8227-b71c93bba705,completed,"Câu trả lời đúng hướng dẫn, đề nghị kết nối chuyên viên tư vấn để trao đổi theo nhu cầu, không tự bịa giá cố định hay cam kết kết quả.",
Q005,normal,accented,PASS,True,1.0,1.0,Anh muốn kiểm tra tên miền mima-demo.vn còn đăng ký được không?,"Dạ, kết quả kiểm tra thử cho thấy tên miền mima-demo.vn đang khả dụng để đăng ký ạ. Đây là kết quả mô phỏng để kiểm thử, chưa phải dữ liệu WHOIS chính thức. Anh/chị có muốn em kiểm tra thêm tên miền khác không ạ?",,False,False,tool:check_domain,0.0,False,14,d29bccb6-9973-46e6-a8e1-4aaeb78faa34,completed,,
Q006,normal,accented,FAIL,False,0.0,1.0,MIMA có văn phòng ở Singapore không?,"Dạ, theo thông tin chính thức của công ty, MIMA có địa chỉ tại 31/3B Ấp Thới Tứ 1, Xã Đông Thạnh, TP. Hồ Chí Minh chứ chưa có thông tin về văn phòng tại Singapore anh/chị nhé. Nếu anh/chị cần hỗ trợ thêm thông tin về các dịch vụ của MIMA, anh/chị có thể liên hệ qua hotline 0909 035 333 hoặc Zalo 0902875586 ạ. Anh/chị có quan tâm đến dịch vụ thiết kế website hay các giải pháp trực tuyến nào khác của MIMA không ạ?",must_contain:chuyên viên tư vấn; expect_escalate,False,False,gemini-3.5-flash-lite,23.4494,True,2051,3e877abe-cb67-45b8-a937-ce913bc76948,completed,,
Q007_ASCII,normal,unaccented,FAIL,False,0.6667,1.0,Thiet ke website bao nhieu tien?,"Dạ, bên em có các gói thiết kế website với mức giá đa dạng để anh/chị lựa chọn theo nhu cầu ạ. Ví dụ như gói Website phổ thông có giá 6.000.000đ, gói Website khởi nghiệp giá 9.000.000đ, và gói Website cao cấp giá 17.000.000đ. Ngoài ra, bên em còn có gói thiết kế theo yêu cầu riêng với mức giá sẽ được báo cụ thể qua Zalo. Anh/chị đang quan tâm đến tính năng hoặc gói thiết kế nào để em tư vấn chi tiết hơn ạ?",must_contain:2.000.000,False,False,gemini-3.5-flash-lite,22.5888,True,2050,94f96cd6-b54e-4d2b-9fb5-e384f354672a,completed,,
Q008_ASCII,normal,unaccented,PASS,True,1.0,1.0,Goi Website Basic co gia bao nhieu?,"Dạ, gói thiết kế website Basic có giá 2.000.000đ anh/chị nhé. Gói này sử dụng giao diện mẫu có sẵn, có các tiện ích như Zalo, nút gọi, chat ngay, livechat, chống copy nội dung và popup đầu trang. Tuy nhiên, gói này chưa bao gồm tính năng tối ưu SEO, AI Content SEO, bàn giao source code hay giỏ hàng ạ. Anh/chị có muốn tìm hiểu thêm về các gói thiết kế website khác không ạ?",,False,False,gemini-3.5-flash-lite,18.1584,True,2319,466d3eca-57f6-4ccf-93cf-0ab732b24efe,completed,,
Q009_ASCII,normal,unaccented,PASS,True,1.0,1.0,Cho anh xin so hotline cua MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",,False,False,gemini-3.5-flash-lite,0.0,False,18,bad7b63e-4798-462a-85f0-fac65c9e27ba,completed,,
Q010_ASCII,normal,unaccented,PASS,True,1.0,1.0,Dich vu SEO co gia co dinh khong?,Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,,False,False,gemini-3.5-flash-lite,14.9162,True,1617,d03a6d8f-2220-40f7-8295-ea7daac3cc0e,completed,,
