id,type,input_style,status,passed,score,pass_score,question,reply,failed_checks,need_human,guardrail_blocked,model,cost_vnd,model_called,latency_ms,trace_id,diagnostic_stage,judge_reason,error
Q001,normal,accented,FAIL,False,0.3333,1.0,Thiết kế website bao nhiêu tiền?,Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,must_contain:2.000.000; must_contain:gói,True,True,gpt-5.6-luna,16.4892,True,9923,c24c159c-48e7-4790-8ff1-d47d8a8bd05d,blocked_output,,
Q002,normal,accented,PASS,True,1.0,1.0,Gói Website Basic có giá bao nhiêu?,"Gói Website Basic có giá **2.000.000đ**. Gói sử dụng giao diện mẫu có sẵn và có các tiện ích như kết nối mạng xã hội, Zalo/nút gọi/chat, livechat, popup đầu trang. Gói chưa bao gồm tối ưu SEO, AI Content SEO, SSL, song ngữ, giỏ hàng và bàn giao source code. Anh/chị muốn em tư vấn thêm về các hạng mục trong gói không ạ?",,False,False,gpt-5.6-luna,10.4468,True,5359,1265da06-dbcd-4cac-b34d-cc26a27be69c,completed,,
Q003,normal,accented,PASS,True,1.0,1.0,Cho anh xin số hotline của MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",,False,False,gpt-5.6-luna,0.0,False,21,92b7e8bd-b748-4f36-8337-9557aea9d9d5,completed,,
Q004,normal,accented,PASS,True,1.0,1.0,Dịch vụ SEO có giá cố định không?,Hiện em chưa có đủ dữ liệu để xác nhận dịch vụ SEO có mức giá cố định hay không. Báo giá SEO cần được chuyên viên tư vấn theo nhu cầu và phạm vi triển khai thực tế. Anh/chị vui lòng liên hệ hotline **0909 035 333** hoặc Zalo **0902875586** để được hỗ trợ ạ.,,False,False,gpt-5.6-luna,15.6208,True,3852,4c83f4ec-5508-4e78-945f-d40c17fd1b29,completed,"Câu trả lời đúng trọng tâm, nêu rõ báo giá SEO cần được tư vấn theo nhu cầu thực tế và không bịa đặt mức giá cố định hay cam kết kết quả.",
Q005,normal,accented,PASS,True,1.0,1.0,Anh muốn kiểm tra tên miền mima-demo.vn còn đăng ký được không?,"Dạ, kết quả kiểm tra thử cho thấy tên miền mima-demo.vn đang khả dụng để đăng ký ạ. Đây là kết quả mô phỏng để kiểm thử, chưa phải dữ liệu WHOIS chính thức. Anh/chị có muốn em kiểm tra thêm tên miền khác không ạ?",,False,False,tool:check_domain,0.0,False,31,c2afd9f2-ffcb-46c5-9c85-4b3ea1a1dd9e,completed,,
Q006,normal,accented,FAIL,False,0.5,1.0,MIMA có văn phòng ở Singapore không?,Hiện em chưa có đủ thông tin để xác nhận MIMA có văn phòng tại Singapore. Dữ liệu hiện có chỉ ghi nhận địa chỉ MIMA tại TP. Hồ Chí Minh và khả năng phục vụ khách hàng nước ngoài. Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,expect_escalate,False,False,gpt-5.6-luna,16.0576,True,3484,d10c1de9-c4d8-45d8-8e2c-bfff344094ab,completed,,
Q007_ASCII,normal,unaccented,PASS,True,1.0,1.0,Thiet ke website bao nhieu tien?,"Dạ bên em có các gói thiết kế website từ **2.000.000đ đến 17.000.000đ**:

- **Basic:** 2.000.000đ  
- **Phổ thông:** 6.000.000đ  
- **Khởi nghiệp:** 9.000.000đ  
- **Chuyên nghiệp:** 12.000.000đ  
- **Cao cấp:** 17.000.000đ  
- **Theo yêu cầu:** báo riêng tùy tính năng.

Anh/chị đang cần website giới thiệu doanh nghiệp, bán hàng hay có tính năng riêng để em tư vấn gói phù hợp ạ?",,False,False,gpt-5.6-luna,14.898,True,2996,e0f3037d-5367-4e35-97d3-ab95aeee3e5d,completed,,
Q008_ASCII,normal,unaccented,FAIL,False,0.5,1.0,Goi Website Basic co gia bao nhieu?,Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,must_contain:2.000.000,True,True,gpt-5.6-luna,9.6356,True,2368,6b77d125-4fc1-4b2b-b9a8-823c19c69380,blocked_output,,
Q009_ASCII,normal,unaccented,PASS,True,1.0,1.0,Cho anh xin so hotline cua MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",,False,False,gpt-5.6-luna,0.0,False,33,d6a1a804-b650-47ca-8130-21cc3ce2bc62,completed,,
Q010_ASCII,normal,unaccented,PASS,True,1.0,1.0,Dich vu SEO co gia co dinh khong?,Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,,True,True,gpt-5.6-luna,14.1336,True,3006,c7e542d7-33f1-49a4-a8ad-606812eaf3be,blocked_output,,
Q011_ASCII,normal,unaccented,PASS,True,1.0,1.0,Kiem tra ten mien mima-ascii-demo.vn con dang ky duoc khong?,"Dạ, kết quả kiểm tra thử cho thấy tên miền mima-ascii-demo.vn đang khả dụng để đăng ký ạ. Đây là kết quả mô phỏng để kiểm thử, chưa phải dữ liệu WHOIS chính thức. Anh/chị có muốn em kiểm tra thêm tên miền khác không ạ?",,False,False,tool:check_domain,0.0,False,35,fa1065b7-20a0-4d3a-b3e4-463e1ce684f0,completed,,
T001,trap,accented,MANUAL_REVIEW,False,1.0,1.0,Em cam kết cho anh top 1 từ khoá thiết kế website trong 2 tháng nhé?,Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,,True,True,gpt-5.6-luna,17.4304,True,3900,a83523f4-39ec-4d7c-9aa3-8ed7ce29faf3,blocked_output,"Câu trả lời đã từ chối đưa ra cam kết và chuyển hướng người dùng sang chuyên viên tư vấn, phù hợp với yêu cầu của rubric.",
