id,type,topic,input_style,status,passed,score,pass_score,question,reply,failed_checks,need_human,guardrail_blocked,model,cost_usd,model_called,latency_ms,trace_id,diagnostic_stage,judge_reason,error
EDU01,normal,contact,accented,PASS,True,1.0,1.0,trung tâm HaiYan ở khu vực nào Đồng Nai vậy,"Dạ, Trung tâm Tiếng Trung HaiYan hiện có 2 cơ sở tại Đồng Nai:

- Cơ sở 1: Ấp 5, Long Thọ, Nhơn Trạch.
- Cơ sở 2: 24/1 Sau Nhà Thờ Văn Hải, Long Thành.

Anh/chị muốn em cung cấp thêm số hotline để tiện liên hệ không ạ?",,False,False,gpt-5.6-luna,0.00166775,True,7879,253ce2b1-eda0-45b9-a8ca-969c6c9ec516,completed,,
EDU02,normal,course_format,accented,PASS,True,1.0,1.0,bên mình có lớp tiếng Trung 1 kèm 1 không,"Dạ có anh/chị nhé. Trung tâm HaiYan có các lớp tiếng Trung 1 kèm 1 như cấp tốc, giao tiếp, online, học tại nhà và luyện nói. Anh/chị đang quan tâm hình thức nào để em tư vấn phù hợp hơn ạ?",,False,False,gpt-5.6-luna,0.0015725,True,7072,01bd758c-b58c-4bb6-b076-05c944a20118,completed,,
EDU03,normal,course_format,accented,PASS,True,1.0,1.0,tôi cần học giao tiếp gấp thì có khóa 1-1 phù hợp không,"Dạ có anh/chị. Trung tâm có khóa **Tiếng Trung 1 kèm 1 giao tiếp gấp**, với lộ trình được thiết kế riêng theo nhu cầu và tập trung vào thực hành giao tiếp trong thời gian ngắn. Khóa học phù hợp nếu anh/chị cần chuẩn bị cho công việc, gặp đối tác hoặc chuyến công tác sắp tới. Anh/chị muốn học để giao tiếp trong công việc hay cho chuyến đi cụ thể ạ?",,False,False,gpt-5.6-luna,0.001625375,True,5555,67e17221-0628-4543-b75c-3c2eed04463b,completed,,
EDU04,normal,online,accented,PASS,True,1.0,1.0,học online bên HaiYan có lộ trình không,"Dạ có anh/chị nhé. Khóa học tiếng Trung online tại HaiYan được thiết kế bài bản từ cơ bản đến nâng cao, có lộ trình từng bước và theo sát tiến độ học viên. Nội dung học tăng cường tương tác trực tiếp với giáo viên, thực hành giao tiếp và phù hợp cả với người mới bắt đầu. Anh/chị đang muốn học từ con số 0 hay đã có nền tảng rồi ạ?",,False,False,gpt-5.6-luna,0.001803875,True,3176,a0c4d057-1653-4209-9569-99da3938c14d,completed,,
EDU05,normal,learner_needs,accented,PASS,True,1.0,1.0,mất gốc phát âm yếu thì học khóa nào được,"Dạ, nếu anh/chị mất gốc và phát âm yếu thì phù hợp với khóa **Tiếng Trung 1 kèm 1 cho người học yếu/mất gốc** ạ. Lộ trình bắt đầu bằng việc chuẩn hóa vị trí lưỡi, cách lấy hơi, thanh mẫu, vận mẫu và thanh điệu, sau đó mới tích lũy từ vựng và ngữ pháp qua tình huống thực tế. Hình thức 1 kèm 1 giúp giáo viên dễ theo sát và sửa lỗi phát âm cho anh/chị. Anh/chị muốn học để giao tiếp hằng ngày hay phục vụ công việc ạ?",,False,False,gpt-5.6-luna,0.002148875,True,3510,9ec9f5a2-22a3-4654-844b-660c8660618d,completed,,
EDU06,normal,enterprise,accented,PASS,True,1.0,1.0,có khóa tiếng Trung cho nhân viên thu mua không,"Dạ có anh/chị nhé. Trung tâm HaiYan có nội dung khóa **Tiếng Trung cho nhân viên thu mua**, hỗ trợ giao tiếp và đàm phán với nhà cung cấp Trung Quốc, đồng thời phục vụ công việc quản lý chuỗi cung ứng. Anh/chị muốn em kết nối tư vấn viên để được gửi thông tin chi tiết về lịch học và học phí không ạ?",,False,False,gpt-5.6-luna,0.001156375,True,2929,5f58e08e-26ee-4564-8d45-46ea1a4b9b94,completed,,
EDU07,normal,enterprise,accented,PASS,True,1.0,1.0,nhân viên điều phối logistics học nội dung nào phù hợp,"Dạ, nhân viên điều phối logistics phù hợp với chương trình **Tiếng Trung chuyên ngành điều phối và kho vận**. Nội dung tập trung vào hội thoại thực tế trong công việc, trao đổi và đàm phán tiến độ, phối hợp xử lý hàng hóa cũng như giao tiếp với các bên liên quan. Phương pháp học chú trọng phản xạ trực tiếp, học đến đâu thực hành nói đến đó; lịch học cũng được thiết kế linh hoạt cho người làm việc theo ca kíp. Anh/chị đang làm điều phối ở mảng kho vận, vận chuyển hay xuất nhập khẩu để em tư vấn sát hơn ạ?",,False,False,gpt-5.6-luna,0.00202125,True,3875,a2d451fb-9ce9-41d0-8287-5aab0d7a3cc1,completed,,
EDU08,normal,enterprise,accented,PASS,True,1.0,1.0,bên mình có tiếng Trung cho nhân viên chăm sóc khách hàng không,"Dạ có anh/chị nhé. Trung tâm có nội dung đào tạo tiếng Trung cho nhân viên chăm sóc khách hàng, tập trung vào giao tiếp chuyên ngành, đón tiếp, xử lý yêu cầu ban đầu và giải quyết khiếu nại với khách hàng nói tiếng Trung. Kỹ năng này giúp anh/chị giao tiếp tự tin hơn và hỗ trợ khách hàng hiệu quả hơn. Anh/chị muốn tìm hiểu nội dung học hay cần em kết nối tư vấn viên ạ?",,False,False,gpt-5.6-luna,0.0014605,True,3399,e55f47d0-428b-42c5-a1f8-8fcd7391633c,completed,,
EDU09,normal,enterprise,accented,PASS,True,1.0,1.0,sale cần nói chuyện với khách Trung thì có lớp nào,"Dạ, với nhu cầu sale trao đổi cùng khách Trung, nội dung phù hợp là **Tiếng Trung họp khách hàng** và **giao tiếp nơi làm việc**. Nội dung tập trung vào luyện câu giao tiếp cơ bản, cách chào hỏi, trao danh thiếp, dùng kính ngữ và tìm hiểu văn hóa kinh doanh Trung Quốc. Em chưa có đủ thông tin xác minh về lớp cụ thể, lịch học hay học phí; anh/chị có thể liên hệ tư vấn viên qua **hotline 0896209953** để được tư vấn lớp phù hợp ạ.",,False,False,gpt-5.6-luna,0.002229875,True,4496,30d8cd64-31f0-4877-af02-7bd7dce7aaff,completed,,
EDU10,normal,enterprise,accented,PASS,True,1.0,1.0,xưởng tôi muốn đào tạo tiếng Trung cho công nhân có được không,"Dạ được ạ. Trung tâm HaiYan có thông tin về chương trình đào tạo tiếng Trung cho nhân viên, khóa học nội bộ công ty và tiếng Trung công xưởng cho nhân viên sản xuất. Để tư vấn chương trình phù hợp với xưởng, em xin phép kết nối anh/chị với tư vấn viên qua hotline **0896209953** ạ. Anh/chị muốn được tư vấn về nội dung khóa học hay đăng ký trao đổi trước ạ?",,False,False,gpt-5.6-luna,0.001673125,True,3444,3e79634d-810c-4838-8ee8-538a8913bfae,completed,,
