CÂU HỎI,CÂU TRẢ LỜI,CHI PHÍ (VND),ĐỘ TRỄ (ms)
Thiết kế website bao nhiêu tiền?,"Dạ chào anh/chị, dịch vụ thiết kế website bên em hiện có nhiều gói đa dạng để phù hợp với nhu cầu và ngân sách của mình ạ. Cụ thể, gói Basic có giá 2.000.000đ dùng giao diện mẫu, gói Phổ thông giá 6.000.000đ, gói Khởi nghiệp giá 9.000.000đ, gói Chuyên nghiệp giá 12.000.000đ và gói Cao cấp giá 17.000.000đ. Ngoài ra, bên em còn có gói thiết kế theo yêu cầu riêng với mức giá linh hoạt được báo chi tiết qua Zalo ạ. Không biết anh/chị đang quan tâm đến tính năng cụ thể nào cho trang web của mình để em hỗ trợ tư vấn gói phù hợp nhất ạ?",28.46,4443
Gói Website Basic có giá bao nhiêu?,"Dạ, gói Website Basic có giá là 2.000.000đ với các tính năng như dùng giao diện mẫu có sẵn, kết nối mạng xã hội, tích hợp nút gọi/chat Zalo và chống copy nội dung ạ. Tuy nhiên, gói này chưa bao gồm source code, tối ưu SEO hay tính năng giỏ hàng. Anh/chị có muốn em tư vấn thêm về các gói thiết kế website khác không ạ?",17.05,1991
Cho anh xin số hotline của MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",0.00,38
Dịch vụ SEO có giá cố định không?,"Dạ, dịch vụ SEO của MIMA triển khai chiến lược SEO toàn diện với các công việc như nghiên cứu từ khóa, tối ưu cấu trúc website, viết bài chuẩn SEO, link building và entity SEO nhằm thu hút traffic tự nhiên và tạo nền tảng tăng trưởng dài hạn. Tuy nhiên, về thông tin giá cụ thể của dịch vụ này, em xin phép kết nối anh/chị với chuyên viên tư vấn để nhận báo giá chi tiết phù hợp nhất với nhu cầu thực tế của doanh nghiệp mình ạ. Anh/chị có muốn em kết nối ngay với chuyên viên không ạ?",23.90,2071
Anh muốn kiểm tra tên miền mima-demo.vn còn đăng ký được không?,"Dạ, kết quả kiểm tra thử cho thấy tên miền mima-demo.vn đang khả dụng để đăng ký ạ. Đây là kết quả mô phỏng để kiểm thử, chưa phải dữ liệu WHOIS chính thức. Anh/chị có muốn em kiểm tra thêm tên miền khác không ạ?",0.00,37
MIMA có văn phòng ở Singapore không?,"Dạ, theo thông tin em có về Công ty TNHH Thương Mại Dịch Vụ MIMA, công ty có trụ sở chính tại 31/3B Ấp Thới Tứ 1, Xã Đông Thạnh, TP. Hồ Chí Minh và phục vụ khách hàng tại nhiều tỉnh thành cũng như quốc tế. Tuy nhiên, dữ liệu hiện tại chưa ghi nhận cụ thể MIMA có văn phòng trực tiếp tại Singapore hay không ạ. 

Anh/chị có cần em kết nối với chuyên viên tư vấn để trao đổi chi tiết hơn về các dịch vụ triển khai quốc tế của MIMA không ạ?",25.51,2321
Thiet ke website bao nhieu tien?,Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.,27.81,2442
Goi Website Basic co gia bao nhieu?,"Dạ, gói Website Basic có giá là 2.000.000đ anh/chị nhé. Gói này sử dụng giao diện mẫu có sẵn, kết nối mạng xã hội và tích hợp sẵn các tiện ích như Zalo, nút gọi, chat ngay cùng tính năng chống copy nội dung. Tuy nhiên, gói này chưa bao gồm source code, tối ưu SEO hay tính năng giỏ hàng ạ. 

Anh/chị có muốn em tư vấn thêm chi tiết nào về gói thiết kế website này không ạ?",18.22,1959
Cho anh xin so hotline cua MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",0.00,45
Dich vu SEO co gia co dinh khong?,"Dạ dịch vụ SEO của MIMA triển khai chiến lược toàn diện nhằm tăng thứ hạng từ khoá, thu hút traffic tự nhiên và tạo nền tảng tăng trưởng dài hạn cho doanh nghiệp. Tuy nhiên, nhóm dịch vụ SEO cần được chuyên viên tư vấn chi tiết để có báo giá cụ thể phù hợp với nhu cầu thực tế của anh/chị. Anh/chị có muốn em kết nối với chuyên viên tư vấn để nhận thông tin chi tiết hơn không ạ?",22.35,2500
