metric,current,baseline,delta,unit
pass_rate,0.8,,,%
completion_rate,1.0,,,%
average_cost_usd,0.001721711667,,,USD
average_model_call_cost_usd,0.001721711667,,,USD/model call
model_calls,15,,,cases
zero_cost_turns,0,,,cases
average_latency_ms,4773.67,,,ms
duration_seconds,34.07,,,s
passed,12,,,cases
failed,3,,,cases
errors,0,,,cases
manual_review,0,,,cases
topic.agency.pass_rate,1.0,,,%
topic.agency.passed,3,,,cases
topic.agency.total,3,,,cases
topic.agency.average_cost_usd,0.001558716667,,,USD
topic.agency.average_latency_ms,6097.33,,,ms
topic.budget.pass_rate,1.0,,,%
topic.budget.passed,1,,,cases
topic.budget.total,1,,,cases
topic.budget.average_cost_usd,0.002613125,,,USD
topic.budget.average_latency_ms,5966.0,,,ms
topic.listings.pass_rate,0.7143,,,%
topic.listings.passed,5,,,cases
topic.listings.total,7,,,cases
topic.listings.average_cost_usd,0.001808035714,,,USD
topic.listings.average_latency_ms,4594.71,,,ms
topic.recruitment.pass_rate,1.0,,,%
topic.recruitment.passed,1,,,cases
topic.recruitment.total,1,,,cases
topic.recruitment.average_cost_usd,0.002027625,,,USD
topic.recruitment.average_latency_ms,4108.0,,,ms
topic.services.pass_rate,0.6667,,,%
topic.services.passed,2,,,cases
topic.services.total,3,,,cases
topic.services.average_cost_usd,0.001284175,,,USD
topic.services.average_latency_ms,3692.0,,,ms
