id,type,topic,input_style,status,passed,score,pass_score,question,reply,failed_checks,need_human,guardrail_blocked,model,cost_usd,model_called,latency_ms,trace_id,diagnostic_stage,judge_reason,error
H311D01,normal,small_talk,unaccented,FAIL,False,0.5,1.0,hello,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Trong lúc chờ thêm thông tin, em có thể hỗ trợ các nội dung gần nhất sau:
- Anh/chị có muốn tìm hiểu về “Bảng giá thiết kế website - Gói Basic” không?
- Anh/chị có muốn tìm hiểu về “FAQ Zalo OA - Mini App: khái niệm và điều kiện đăng ký” không?
- Anh/chị có muốn tìm hiểu về “Bảng giá thiết kế website - Gói khởi nghiệp” không?

Nếu anh/chị vẫn cần đúng nội dung ban đầu, em xin phép hỗ trợ chuyển người phụ trách. Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.",must_not_contain:chưa có đủ dữ liệu; must_not_contain:xin phép kết nối,False,False,gpt-5.6-luna,0.0,False,3418,530f4b7b-c063-4901-8f73-21e4151e4bdd,completed,,
H311D02,normal,small_talk,accented,PASS,True,1.0,1.0,alo em ơi có ai tư vấn không,"Dạ em đây ạ, em có thể tư vấn cho anh/chị về Zalo OA và Mini App như chatbot, đặt lịch, đặt hàng hoặc thanh toán trên Zalo. Anh/chị đang quan tâm giải pháp nào để em hỗ trợ cụ thể hơn ạ?",,False,False,gpt-5.6-luna,0.001526375,True,8348,a98d9150-f230-4f0d-bc6a-d11750e5e179,completed,,
H311D03,normal,small_talk,unaccented,PASS,True,1.0,1.0,"chao shop, minh dang tham khao lam web","Em chào anh/chị! Bên em hiện có các gói thiết kế website từ 2.000.000đ đến 17.000.000đ, tùy nhu cầu và tính năng. Anh/chị đang dự định làm website giới thiệu doanh nghiệp, bán hàng hay dạng khác ạ?",,False,False,gpt-5.6-luna,0.001457375,True,8502,73588bc1-fd7d-41fa-a1a3-15f5039c138c,completed,,
H311D04,normal,pricing,accented,PASS,True,1.0,1.0,bên em làm web giá tầm bao nhiêu vậy,"Dạ, bên em có các gói thiết kế website với mức giá như sau: 
- Gói Basic: 2.000.000đ
- Gói phổ thông: 6.000.000đ
- Gói khởi nghiệp: 9.000.000đ
- Gói chuyên nghiệp: 12.000.000đ
- Gói cao cấp: 17.000.000đ

Anh/chị muốn xem chi tiết lựa chọn nào ạ?",,False,False,gemini-3.5-flash-lite,0.0007476,True,2801,71c7ceb3-a6ca-4671-98da-65d961057e6b,completed,,
H311D05,normal,budget,accented,FAIL,False,0.5,1.0,anh có khoảng 8tr thì làm được web gói nào em,"Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:6.000.000 | Phổ thông | Basic; expect_escalate,True,True,gpt-5.6-luna,0.00189425,True,4824,12d4fc49-7095-48b8-81f5-023d883953f2,blocked_output,,
H311D06,normal,budget,unaccented,PASS,True,1.0,1.0,tam 15 den 20 trieu co web nao phu hop khong,"Dạ, ngân sách khoảng 15–20 triệu phù hợp với **gói Website cao cấp giá 17.000.000đ**. Gói này có đầy đủ tính năng của gói chuyên nghiệp, thêm **giỏ hàng, hỗ trợ song ngữ, tặng 30 bài viết chuẩn SEO và 500 chủ đề SEO**. Nếu anh/chị cần các tính năng nâng cao như thanh toán online, voucher, Flash Sale, khóa học trực tuyến hoặc phân quyền quản trị, có thể chọn gói theo yêu cầu và báo giá riêng qua Zalo. Anh/chị đang cần website bán hàng hay website giới thiệu doanh nghiệp ạ?",,False,False,gpt-5.6-luna,0.0018325,True,5301,f17ad965-cd41-4571-a34a-0a0ff38b05c8,completed,,
H311D07,normal,pricing,accented,PASS,True,1.0,1.0,gói chuyên nghiệp 12tr có ssl sẵn chưa em,"Dạ, gói thiết kế website chuyên nghiệp giá 12.000.000đ đã được tích hợp sẵn chứng chỉ số SSL anh/chị nhé. 

Anh/chị có muốn em tư vấn thêm chi tiết về gói này không ạ?",,False,False,gemini-3.5-flash-lite,0.0003306,True,2337,2ea64c9d-72d9-4999-92ef-4b8d853e18c2,completed,,
H311D08,normal,process,accented,PASS,True,1.0,1.0,trước khi code anh có được coi giao diện rồi sửa màu không,"Dạ có anh/chị. Trước khi lập trình, anh/chị được duyệt giao diện và có thể chỉnh sửa màu sắc, bố cục để phù hợp với nhận diện thương hiệu. Quy trình bên em sẽ thiết kế UX/UI trước, sau đó mới tiến hành lập trình. Anh/chị muốn ưu tiên chỉnh màu sắc hay bố cục trước ạ?",,False,False,gpt-5.6-luna,0.001475125,True,3421,20dfbf06-fe1e-4fd8-bb5a-158b48df7cf0,completed,,
H311D09,normal,pricing,accented,PASS,True,1.0,1.0,web basic 2tr có giao source code cho anh không,"Dạ, gói Website Basic giá 2.000.000đ chưa bao gồm bàn giao source code anh nhé.

Các gói có bàn giao source code gồm:
- Website phổ thông: 6.000.000đ
- Website khởi nghiệp: 9.000.000đ",,False,False,gpt-5.6-luna,0.0010996,True,5356,c13fbc7f-9a27-4b7b-80a6-b16b999eeeda,completed,,
H311D10,normal,pricing,accented,PASS,True,1.0,1.0,cho anh hỏi gói cao cấp có giỏ hàng với song ngữ chưa,"Dạ, gói Website cao cấp có giá 17.000.000đ đã bao gồm đầy đủ tính năng như gói chuyên nghiệp, cộng thêm giỏ hàng và hỗ trợ song ngữ anh/chị nhé. 

Anh/chị có muốn em hỗ trợ đăng ký gói thiết kế này luôn không ạ?",,False,False,gemini-3.5-flash-lite,0.0003865,True,2306,c1f11565-6721-49e2-a36b-fe77fd5a701a,completed,,
