CÂU HỎI,CÂU TRẢ LỜI,CHI PHÍ (VND),ĐỘ TRỄ (ms)
Thiết kế website bao nhiêu tiền?,"Dạ, bên em cung cấp nhiều gói thiết kế website khác nhau để phù hợp với nhu cầu của anh/chị. Cụ thể, gói Basic có giá 2.000.000đ, gói phổ thông giá 6.000.000đ, gói khởi nghiệp giá 9.000.000đ, gói chuyên nghiệp giá 12.000.000đ và gói cao cấp giá 17.000.000đ. Ngoài ra, gói thiết kế theo yêu cầu riêng sẽ được báo giá cụ thể tùy theo tính năng anh/chị mong muốn ạ. Anh/chị đang quan tâm đến gói dịch vụ nào để em hỗ trợ tư vấn chi tiết hơn ạ?",26.90,3316
Gói Website Basic có giá bao nhiêu?,"Dạ, gói thiết kế website Basic có giá 2.000.000đ với các tính năng cơ bản như sử dụng giao diện mẫu có sẵn, kết nối mạng xã hội và tích hợp các tiện ích liên hệ như nút gọi hay livechat ạ. Tuy nhiên, gói này chưa bao gồm source code, tính năng tối ưu SEO hay giỏ hàng anh/chị nhé. Anh/chị có muốn em tư vấn thêm chi tiết nào về gói dịch vụ này không ạ?",17.70,1743
Cho anh xin số hotline của MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",0.00,16
Dịch vụ SEO có giá cố định không?,"Dạ dịch vụ SEO của MIMA triển khai chiến lược SEO toàn diện nhằm thu hút traffic tự nhiên và tạo nền tảng tăng trưởng dài hạn cho doanh nghiệp. Tuy nhiên, để có báo giá chính xác cho hạng mục này, em xin phép kết nối anh/chị với chuyên viên tư vấn ạ. Anh/chị có muốn em hỗ trợ kết nối ngay không ạ?",21.11,1923
Anh muốn kiểm tra tên miền mima-demo.vn còn đăng ký được không?,"Dạ, kết quả kiểm tra thử cho thấy tên miền mima-demo.vn đang khả dụng để đăng ký ạ. Đây là kết quả mô phỏng để kiểm thử, chưa phải dữ liệu WHOIS chính thức. Anh/chị có muốn em kiểm tra thêm tên miền khác không ạ?",0.00,25
MIMA có văn phòng ở Singapore không?,"Dạ, theo thông tin em có về Công ty TNHH Thương Mại Dịch Vụ MIMA, công ty có trụ sở chính tại 31/3B Ấp Thới Tứ 1, Xã Đông Thạnh, TP. Hồ Chí Minh và phục vụ khách hàng tại nhiều tỉnh thành cũng như quốc tế. Tuy nhiên, dữ liệu hiện tại không đề cập cụ thể về việc MIMA có văn phòng tại Singapore hay không ạ. 

Anh/chị có cần em kết nối với chuyên viên tư vấn để được giải đáp chi tiết hơn về vấn đề này không ạ?",25.12,2027
Thiet ke website bao nhieu tien?,"Dạ, bên em cung cấp nhiều gói thiết kế website khác nhau để phù hợp với nhu cầu của anh/chị. Cụ thể, gói Website Basic có giá 2.000.000đ, gói Phổ thông giá 6.000.000đ, gói Khởi nghiệp giá 9.000.000đ, gói Chuyên nghiệp giá 12.000.000đ và gói Cao cấp giá 17.000.000đ. Ngoài ra, gói thiết kế theo yêu cầu riêng sẽ được báo giá cụ thể qua Zalo 0902875586 ạ. Anh/chị đang quan tâm đến tính năng nào cho website của mình để em tư vấn gói phù hợp nhất ạ?",27.55,2100
Goi Website Basic co gia bao nhieu?,"Dạ, gói thiết kế website Basic có giá 2.000.000đ anh/chị nhé. Gói này sử dụng giao diện mẫu có sẵn, có các tiện ích như Zalo, nút gọi, chat ngay, livechat, chống copy nội dung và popup đầu trang. Tuy nhiên, gói này chưa bao gồm tính năng AI Content SEO, tối ưu SEO, bàn giao source code hay giỏ hàng ạ. Anh/chị có muốn em tư vấn chi tiết hơn về các tính năng của gói này không ạ?",18.35,1908
Cho anh xin so hotline cua MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",0.00,19
Dich vu SEO co gia co dinh khong?,"Dạ dịch vụ SEO của MIMA triển khai chiến lược SEO toàn diện nhằm tăng thứ hạng từ khóa và thu hút traffic tự nhiên cho doanh nghiệp. Tuy nhiên, mức giá cụ thể của dịch vụ này cần được trao đổi trực tiếp để phù hợp với nhu cầu thực tế của anh/chị. Anh/chị vui lòng liên hệ qua hotline 0909 035 333 hoặc Zalo 0902875586 để chuyên viên tư vấn chi tiết hơn nhé. Anh/chị có muốn em kết nối với chuyên viên ngay bây giờ không ạ?",24.24,1978
