id,type,topic,input_style,status,passed,score,pass_score,question,reply,failed_checks,need_human,guardrail_blocked,model,cost_usd,model_called,latency_ms,trace_id,diagnostic_stage,judge_reason,error
CLINIC01,normal,specialty,accented,PASS,True,1.0,1.0,bên phòng khám có khám tim mạch cho người lớn không vậy,"Dạ, phòng khám có thông tin khám và theo dõi các vấn đề tim mạch ở người lớn, gồm tăng huyết áp, rối loạn nhịp tim, bệnh mạch vành, suy tim và một số bệnh lý khác ạ. Anh/chị muốn đăng ký khám tim mạch hay cần em cung cấp thêm thông tin về quy trình khám?",,False,False,gpt-5.6-luna,0.0004006,True,8074,ab6e5829-d780-4e85-91b8-e25c4545bb74,completed,,
CLINIC02,normal,packages,accented,PASS,True,1.0,1.0,phòng khám có gói đánh giá nguy cơ đột quỵ không,"Dạ có anh/chị. Phòng khám Hỷ Hỷ hiện có gói khám đánh giá nguy cơ đột quỵ, nhằm kiểm tra nhiều yếu tố nguy cơ và tư vấn phòng ngừa theo từng trường hợp. Anh/chị muốn em hỗ trợ kết nối chuyên viên để tìm hiểu thêm về nội dung và chi phí gói khám không ạ?",,False,False,gpt-5.6-luna,0.001183375,True,6045,007a0cfd-b281-45bb-8de3-62bc374b7748,completed,,
CLINIC03,normal,packages,accented,PASS,True,1.0,1.0,tôi muốn khám sức khỏe tổng quát định kỳ thì bên mình có làm ko,"Dạ, phòng khám có dịch vụ khám sức khỏe tổng quát định kỳ giúp phát hiện sớm các vấn đề sức khỏe để bảo vệ toàn diện cho anh/chị ạ. 

Mời anh/chị liên hệ với phòng khám để nhận thông tin chi tiết về gói khám nhé!",,False,False,gemini-3.5-flash-lite,0.0007791,True,4912,81b65080-799d-4538-a33b-6ce71d82453d,completed,,
CLINIC04,normal,packages,accented,PASS,True,1.0,1.0,có gói khám sức khỏe cao cấp riêng cho nam không em,"Dạ có anh/chị. Phòng khám Hỷ Hỷ có **gói khám sức khỏe cao cấp Nam**, gồm khám và tư vấn với bác sĩ, đánh giá một số nguy cơ sức khỏe như tim mạch, béo phì, tiểu đường và kiểm tra các cơ quan như phổi, thận, ổ bụng; thời hạn sử dụng gói là **30 ngày từ ngày thanh toán**. Em chưa có thông tin giá gói trong dữ liệu hiện tại, anh/chị muốn em hỗ trợ kết nối chuyên viên để được tư vấn thêm không ạ?",,False,False,gpt-5.6-luna,0.0021495,True,4028,03628ea0-aea3-4def-a1af-601955cd4cf9,completed,,
CLINIC05,normal,packages,accented,PASS,True,1.0,1.0,gói sức khỏe cao cấp nữ có bên phòng khám không,"Dạ có ạ. Phòng khám Hỷ Hỷ có **gói sức khỏe cao cấp nữ**, hướng đến chăm sóc sức khỏe toàn diện, phát hiện sớm các bất thường và cải thiện chất lượng cuộc sống; gói khám sẽ được tư vấn phù hợp theo tình trạng sức khỏe và nhu cầu của chị. Gói này không thay thế điều trị chuyên sâu nếu có bệnh lý nghiêm trọng. Anh/chị muốn em hỗ trợ kết nối nhân viên tư vấn qua hotline **0971 787 416** không ạ?",,False,False,gpt-5.6-luna,0.002325625,True,4648,3a3d7567-7912-4b06-8552-ed6040ab177b,completed,,
CLINIC06,normal,doctors,accented,PASS,True,1.0,1.0,bác sĩ Hồ Hữu Thật chuyên khoa gì vậy,"Dạ, bác sĩ Hồ Hữu Thật chuyên khoa **Nội Thần kinh và Đột quỵ**, với hơn 20 năm kinh nghiệm điều trị các bệnh lý thần kinh và đột quỵ ạ. Anh/chị có muốn em hỗ trợ kết nối để đặt lịch khám với bác sĩ không?",,False,False,gpt-5.6-luna,0.0019995,True,3055,f55a7df0-ab36-479f-b84c-128e27d45e64,completed,,
CLINIC07,normal,doctors,accented,PASS,True,1.0,1.0,bác Hồ Hữu Thật có bao nhiêu năm kinh nghiệm,"Dạ, Thạc sĩ, Bác sĩ Hồ Hữu Thật có hơn 20 năm kinh nghiệm trong lĩnh vực điều trị đột quỵ và các bệnh lý thần kinh ạ. 

Mời anh/chị liên hệ phòng khám để đặt lịch hẹn gặp bác sĩ nhé ạ!",,False,False,gemini-3.5-flash-lite,0.0007282,True,2686,2cf0643a-8f59-43e1-bdf4-5a5a1da8ed63,completed,,
CLINIC08,normal,doctors,accented,PASS,True,1.0,1.0,bác sĩ Hoàng Quốc Duy khám chuyên khoa nào,"Dạ, bác sĩ Hoàng Quốc Duy khám **chuyên khoa Nội thần kinh**, anh/chị nhé. Bác sĩ có kinh nghiệm trong chẩn đoán và điều trị các bệnh lý thần kinh như đột quỵ, động kinh và Alzheimer. Anh/chị muốn em hỗ trợ kết nối đặt lịch khám không ạ?",,False,False,gpt-5.6-luna,0.001803375,True,2971,e6f0e22c-e57c-473d-a9d1-fa75b0768f3a,completed,,
CLINIC09,normal,doctors,accented,PASS,True,1.0,1.0,bác Phạm Lê Hoàng Long bên mình làm khoa gì,"Dạ, bác sĩ Phạm Lê Hoàng Long thuộc **chuyên khoa Nội Thần kinh** ạ. Bác sĩ có chuyên môn về các bệnh lý liên quan đến hệ thần kinh. Anh/chị có muốn em hỗ trợ kết nối để đặt lịch khám với bác sĩ không ạ?",,False,False,gpt-5.6-luna,0.001744375,True,3638,4e2df43f-0414-45f6-a72a-50d4db59a953,completed,,
CLINIC10,normal,staff,accented,PASS,True,1.0,1.0,chị Thiều Thị Bích Ngọc phụ trách mảng nào,"Dạ, chị Thiều Thị Bích Ngọc phụ trách **lĩnh vực Xét nghiệm**, thực hiện và phân tích các kết quả xét nghiệm y học để hỗ trợ chẩn đoán và theo dõi sức khỏe. Anh/chị muốn tìm hiểu thêm về chuyên môn của chị hay đặt lịch xét nghiệm ạ?",,False,False,gpt-5.6-luna,0.00183125,True,3306,1d17a0d1-59d1-4429-aa17-fd3dc738806d,completed,,
