CÂU HỎI,CÂU TRẢ LỜI,CHI PHÍ ƯỚC TÍNH (USD),ĐỘ TRỄ (ms)
"Bên mình có mấy gói làm web, giá từng gói sao em?","Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",0.00194500,12419
gói basic 2tr gồm những gì vậy,"Dạ, gói Website Basic 2.000.000đ gồm: giao diện mẫu, kết nối mạng xã hội, khách tự cập nhật nội dung, tiện ích Zalo/nút gọi/chat ngay, livechat, chống copy, đóng dấu sản phẩm và popup đầu trang. Gói chưa có mã nguồn, tối ưu SEO hay giỏ hàng ạ. 

Anh/chị có muốn đăng ký gói này không ạ?",0.00043180,2958
"gói phổ thông giá nhiêu, có bàn giao code không em","Dạ, gói website phổ thông có giá 6.000.000đ và có bàn giao source code anh/chị nhé. 

Anh/chị có muốn em tư vấn chi tiết hơn về gói này không ạ?",0.00042490,3000
web khởi nghiệp bên em có bản mobile chưa,"Dạ có anh/chị nhé. Gói Website khởi nghiệp có phiên bản tương thích mobile và tablet, đồng thời thiết kế giao diện theo yêu cầu. Anh/chị muốn em tư vấn thêm về các hạng mục của gói này không ạ?",0.00102738,4677
gói chuyên nghiệp 12 triệu đã có ssl đúng không,"Dạ đúng rồi anh/chị ạ, gói Website chuyên nghiệp giá 12.000.000đ đã được tích hợp chứng chỉ số SSL anh/chị nhé. 

Anh/chị có muốn em tư vấn thêm chi tiết về gói này không ạ?",0.00034060,2297
gói cao cấp khác chuyên nghiệp chỗ nào,"Gói Website cao cấp có giá **17.000.000đ**, cao hơn gói chuyên nghiệp **12.000.000đ**. Ngoài các tính năng của gói chuyên nghiệp, gói cao cấp được bổ sung **giỏ hàng**, **hỗ trợ song ngữ**, đồng thời tặng **30 bài viết chuẩn SEO** và **500 chủ đề SEO**. Gói chuyên nghiệp có **SSL**, tặng **20 bài viết chuẩn SEO** và **500 chủ đề SEO**, nhưng chưa hỗ trợ giỏ hàng và song ngữ. Anh/chị muốn em tư vấn gói phù hợp theo loại website của mình không ạ?",0.00151150,4789
trước khi code anh có được duyệt và sửa giao diện không,"Dạ có anh/chị. Trước khi lập trình, anh/chị sẽ được duyệt giao diện và có thể chỉnh sửa màu sắc, bố cục phù hợp với nhận diện thương hiệu. Quy trình gồm bước thiết kế UX/UI trước rồi mới chuyển sang lập trình. Anh/chị muốn ưu tiên chỉnh phần màu sắc, bố cục hay tính năng nào trước ạ?",0.00157488,3387
hosting seo bên mình có uptime bao nhiêu,"Dạ, dịch vụ Hosting SEO của MIMA có uptime 99,9% ạ.",0.00073170,4755
mima có hỗ trợ đăng ký với quản lý tên miền không,"Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",0.00024520,1369
seo tổng thể bên em làm những hạng mục nào vậy,"Dạ, dịch vụ SEO tổng thể của MIMA bao gồm: nghiên cứu từ khóa, tối ưu cấu trúc website, viết bài chuẩn SEO, link building, entity SEO, schema markup, tăng traffic người dùng thật và xây dựng backlink ạ. 

Anh/chị có muốn em tư vấn chi tiết hơn về quy trình không ạ?",0.00052490,2787
làm backlink thì giúp web cái gì,"Dạ, dịch vụ Backlink của MIMA giúp tăng uy tín với Google, cải thiện thứ hạng từ khóa và hỗ trợ SEO bền vững, ổn định lâu dài ạ. 

Anh/chị có muốn em kết nối với chuyên viên tư vấn để trao đổi chi tiết hơn không ạ?",0.00033940,3178
cho anh xin hotline của công ty,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",0.00000000,831
văn phòng mima ở địa chỉ nào em,"Văn phòng MIMA tại: **31/3B Ấp Thới Tứ 1, Xã Đông Thạnh, TP. Hồ Chí Minh**.  
Anh/chị cần em hỗ trợ thêm thông tin liên hệ không ạ?",0.00106687,2962
bên mình ngoài làm web còn dịch vụ gì nữa,"Dạ, ngoài thiết kế website, MIMA còn cung cấp các dịch vụ: thiết kế app, hosting, tên miền, SEO website/fanpage/maps, chăm sóc website và fanpage, tạo profile & Google Maps, chạy quảng cáo, email hosting và sản xuất video giới thiệu.  
Anh/chị đang quan tâm thêm dịch vụ nào để em tư vấn cụ thể hơn ạ?",0.00165650,3799
MIMA dùng công nghệ nào để làm website,"MIMA sử dụng CMS, công cụ quản lý source code và tiến độ, ngôn ngữ lập trình web động, cùng Framework kết hợp các thư viện như Redux, React Router, Axios và Material-UI. Anh/chị cần tư vấn thêm, hãy liên hệ MIMA ạ.",0.00053250,3288
