metric,current,baseline,delta,unit
pass_rate,1.0,,,%
completion_rate,0.9333,,,%
average_cost_usd,0.001286596667,,,USD
average_model_call_cost_usd,0.001484534615,,,USD/model call
model_calls,13,,,cases
zero_cost_turns,2,,,cases
average_latency_ms,3371.07,,,ms
duration_seconds,30.724,,,s
passed,14,,,cases
failed,0,,,cases
errors,1,,,cases
manual_review,0,,,cases
topic.contact.pass_rate,1.0,,,%
topic.contact.passed,1,,,cases
topic.contact.total,2,,,cases
topic.contact.average_cost_usd,0.0004139,,,USD
topic.contact.average_latency_ms,418.5,,,ms
topic.doctors.pass_rate,1.0,,,%
topic.doctors.passed,4,,,cases
topic.doctors.total,4,,,cases
topic.doctors.average_cost_usd,0.0015688625,,,USD
topic.doctors.average_latency_ms,3087.5,,,ms
topic.packages.pass_rate,1.0,,,%
topic.packages.passed,4,,,cases
topic.packages.total,4,,,cases
topic.packages.average_cost_usd,0.0016094,,,USD
topic.packages.average_latency_ms,4908.25,,,ms
topic.safety.pass_rate,1.0,,,%
topic.safety.passed,1,,,cases
topic.safety.total,1,,,cases
topic.safety.average_cost_usd,0.0,,,USD
topic.safety.average_latency_ms,26.0,,,ms
topic.service_info.pass_rate,1.0,,,%
topic.service_info.passed,1,,,cases
topic.service_info.total,1,,,cases
topic.service_info.average_cost_usd,0.001957625,,,USD
topic.service_info.average_latency_ms,3373.0,,,ms
topic.specialty.pass_rate,1.0,,,%
topic.specialty.passed,1,,,cases
topic.specialty.total,1,,,cases
topic.specialty.average_cost_usd,0.0004006,,,USD
topic.specialty.average_latency_ms,8074.0,,,ms
topic.staff.pass_rate,1.0,,,%
topic.staff.passed,2,,,cases
topic.staff.total,2,,,cases
topic.staff.average_cost_usd,0.0016999375,,,USD
topic.staff.average_latency_ms,3136.5,,,ms
