id,type,topic,input_style,status,passed,score,pass_score,question,reply,failed_checks,need_human,guardrail_blocked,model,cost_usd,model_called,latency_ms,trace_id,diagnostic_stage,judge_reason,error
FOOD01,normal,catalogue,accented,PASS,True,1.0,1.0,Thiện Minh đang bán nhóm thực phẩm nào vậy,"Dạ, Thiện Minh hiện có các nhóm thực phẩm chính:

- Gạo lứt, hạt ngũ cốc, các loại đậu và gia vị chay tự nhiên.
- Thực phẩm chế biến sẵn như chả lụa chay, nem rán chay, xúc xích chay, đậu hũ non và các món kho, xào đóng gói.
- Đồ ăn vặt, bánh quy, mứt và kẹo chay không chứa nguyên liệu động vật.
- Sản phẩm thực dưỡng, Ohsawa như bánh gạo lứt, bột ngũ cốc, sữa hạt và bún gạo lứt.

Anh/chị đang quan tâm nhóm nào để em tư vấn cụ thể hơn ạ?",,False,False,gpt-5.6-luna,0.002188875,True,12534,d0376cda-64ae-4c9a-84cb-02f55ff29cb4,completed,,
FOOD02,normal,policy,accented,PASS,True,1.0,1.0,sản phẩm bên mình có ghi nguồn gốc với hạn sử dụng không,"Dạ có anh/chị. Theo thông tin sản phẩm, Phở Gạo Lứt Fuma 400g có thông tin ngày sản xuất, hạn sử dụng, nhà sản xuất và đơn vị phân phối; hạn sử dụng lên đến 12 tháng kể từ ngày sản xuất. Nui Gạo Trắng Fuma 400g cũng in rõ ngày sản xuất trên bao bì và có hạn sử dụng lên đến 12 tháng kể từ ngày sản xuất. Anh/chị đang quan tâm sản phẩm nào để em kiểm tra thông tin cụ thể hơn ạ?",,False,False,gpt-5.6-luna,0.001834,True,6859,83ec5fb7-caca-418b-9ec4-754d3ccc6d60,completed,,
FOOD03,normal,delivery,accented,PASS,True,1.0,1.0,"shop có giao hàng không, giao nhanh chứ","Dạ có anh/chị nhé, Thiện Minh có giao hàng toàn quốc. Sản phẩm được đóng gói cẩn thận và hỗ trợ giao hàng nhanh chóng, tuy nhiên em chưa có thông tin thời gian giao cụ thể cho từng khu vực. Anh/chị muốn em kết nối nhân viên để kiểm tra thời gian giao đến địa chỉ của mình không ạ?",,False,False,gpt-5.6-luna,0.001983875,True,5851,b994a0f8-7127-4411-a48d-427616e0c1f4,completed,,
FOOD04,normal,seasonings,accented,PASS,True,1.0,1.0,bên mình có bán đường mía hữu cơ không,Dạ có anh/chị ạ. Bên em hiện có **Đường Mía Hữu Cơ Clavie** và **Đường Mía Hữu Cơ Kasib**. Anh/chị muốn em tư vấn thêm về loại nào không ạ?,,False,False,gpt-5.6-luna,0.00161775,True,2980,ac2662e9-785d-4789-84f4-8150c331c257,completed,,
FOOD05,normal,seasonings,accented,PASS,True,1.0,1.0,có dầu hướng dương ép lạnh không shop,"Dạ có anh/chị nhé, bên em có **Dầu Hướng Dương Ép Lạnh Vita Fresh nhập khẩu từ Nga**. Anh/chị muốn em kết nối nhân viên Thiện Minh để kiểm tra giá và tư vấn đặt hàng không ạ?",,False,False,gpt-5.6-luna,0.001499125,True,3174,5d85f4d8-a351-424f-b077-1b91997176c7,completed,,
FOOD06,normal,seasonings,accented,PASS,True,1.0,1.0,shop có nhóm nước tương nước mắm hạt nêm không,"Dạ có anh/chị ạ. Shop có nhóm **Gia vị – Nước tương – Nước mắm – Hạt nêm – Đường – Dầu ăn**, gồm một số sản phẩm như **Nước tương Tamari thực dưỡng 5 năm** và **Bột nêm ngưu báng 200g**. Anh/chị muốn em giới thiệu thêm sản phẩm nào trong nhóm này không ạ?",,False,False,gpt-5.6-luna,0.001905,True,3525,0be52b80-6860-41e4-9e84-eeb03b37eae5,completed,,
FOOD07,normal,nutrition,accented,PASS,True,1.0,1.0,Suto Meal bên mình có bán không,"Dạ có anh/chị nhé, bên em có **Suto Meal chính hãng**, thuộc nhóm bột – sữa – ngũ cốc. Thông tin hiện có ghi sản phẩm **freeship toàn quốc**. Anh/chị muốn em kết nối nhân viên để tư vấn và hỗ trợ đặt hàng không ạ?",,False,False,gpt-5.6-luna,0.0016225,True,3377,f3f58612-766c-4d56-a772-59b4cf3158fc,completed,,
FOOD08,normal,nutrition,accented,PASS,True,1.0,1.0,có sữa thực vật Glucose Plan Canxi loại 900g không,"Dạ có anh/chị ạ. Thiện Minh hiện có **Sữa thực vật Glucose Plan Canxi 900g**, thông tin sản phẩm có kèm quà tặng **1 hộp sữa mầm hoặc sữa hạt Power**. Anh/chị muốn em hỗ trợ thêm thông tin sản phẩm hay kết nối nhân viên để kiểm tra và tư vấn trực tiếp ạ?",,False,False,gpt-5.6-luna,0.001451875,True,3394,f4cf2a45-ae2f-4f9a-a874-d2e6eb20fe44,completed,,
FOOD09,normal,fuma,accented,PASS,True,1.0,1.0,phở gạo lứt Fuma gói bao nhiêu gram vậy,"Dạ, phở gạo lứt Fuma được đóng gói với trọng lượng 400g, rất tiện lợi cho anh/chị sử dụng trong nhiều bữa ăn ạ. 

Anh/chị có muốn em tư vấn thêm về sản phẩm này không ạ?",,False,False,gemini-3.5-flash-lite,0.0006978,True,2511,bf4e992a-b5ff-44bc-8c7d-e48d9c1a7235,completed,,
FOOD10,normal,fuma,accented,PASS,True,1.0,1.0,nui gạo trắng Fuma có loại 400g không,"Dạ có anh/chị nhé. Nui Gạo Trắng Fuma hiện có quy cách 400g, được làm từ 80% bột gạo nguyên chất kết hợp với tinh bột khoai mì và muối. Anh/chị có thể luộc nui trong khoảng 5–7 phút, sau đó xả nước lạnh để giữ độ dai. Anh/chị muốn em tư vấn thêm cách chế biến hay kết nối nhân viên để kiểm tra mua hàng ạ?",,False,False,gpt-5.6-luna,0.00188925,True,3920,3d9cd5a0-6599-40c3-a41c-19448c31ca8b,completed,,
