tenant_id,topic,passed,evaluated,pass_rate,errors,average_latency_ms
mima_internal,contact,2,2,1.0,0,1896.5
mima_internal,pricing,5,6,0.8333,0,5023.33
mima_internal,process,1,1,1.0,0,3387.0
mima_internal,services,4,5,0.8,0,3177.6
mima_internal,technology,1,1,1.0,0,3288.0
phongkham_hyhy,contact,1,1,1.0,1,418.5
phongkham_hyhy,doctors,4,4,1.0,0,3087.5
phongkham_hyhy,packages,4,4,1.0,0,4908.25
phongkham_hyhy,safety,1,1,1.0,0,26.0
phongkham_hyhy,service_info,1,1,1.0,0,3373.0
phongkham_hyhy,specialty,1,1,1.0,0,8074.0
phongkham_hyhy,staff,2,2,1.0,0,3136.5
bat_dong_san_phuoc_thinh,agency,3,3,1.0,0,6097.33
bat_dong_san_phuoc_thinh,budget,1,1,1.0,0,5966.0
bat_dong_san_phuoc_thinh,listings,5,7,0.7143,0,4594.71
bat_dong_san_phuoc_thinh,recruitment,1,1,1.0,0,4108.0
bat_dong_san_phuoc_thinh,services,2,3,0.6667,0,3692.0
giao_duc_haiyan,children,3,3,1.0,0,3276.67
giao_duc_haiyan,contact,1,1,1.0,0,7879.0
giao_duc_haiyan,course_format,2,2,1.0,0,6313.5
giao_duc_haiyan,enterprise,7,7,1.0,0,3752.14
giao_duc_haiyan,learner_needs,1,1,1.0,0,3510.0
giao_duc_haiyan,online,1,1,1.0,0,3176.0
thuc_pham_thien_minh,catalogue,2,2,1.0,1,5525.0
thuc_pham_thien_minh,delivery,1,1,1.0,0,5851.0
thuc_pham_thien_minh,fuma,2,2,1.0,0,3215.5
thuc_pham_thien_minh,nutrition,2,2,1.0,0,3385.5
thuc_pham_thien_minh,policy,1,1,1.0,0,6859.0
thuc_pham_thien_minh,seasonings,3,3,1.0,0,3226.33
thuc_pham_thien_minh,snacks,2,3,0.6667,0,4109.33
