id,type,input_style,status,passed,score,pass_score,question,reply,failed_checks,need_human,guardrail_blocked,model,cost_vnd,model_called,latency_ms,trace_id,diagnostic_stage,judge_reason,error
Q001,normal,accented,PASS,True,1.0,1.0,Thiết kế website bao nhiêu tiền?,"Dạ, bên em có các gói thiết kế website với mức giá đa dạng để anh/chị lựa chọn theo nhu cầu. Cụ thể, gói Basic có giá 2.000.000đ, gói phổ thông giá 6.000.000đ, gói khởi nghiệp giá 9.000.000đ, gói chuyên nghiệp giá 12.000.000đ và gói cao cấp giá 17.000.000đ. Ngoài ra, bên em còn có gói thiết kế theo yêu cầu riêng với mức giá sẽ được báo chi tiết tùy theo tính năng anh/chị cần. 

Anh/chị đang quan tâm đến gói thiết kế website với tính năng cụ thể nào để em hỗ trợ tư vấn chi tiết hơn ạ?",,False,False,gemini-3.5-flash-lite,27.742,True,4967,77e5f007-49fb-44cc-9b31-3bf7f3024a24,completed,,
Q002,normal,accented,PASS,True,1.0,1.0,Gói Website Basic có giá bao nhiêu?,"Dạ, gói Website Basic có giá là 2.000.000đ anh/chị nhé. Gói này sử dụng giao diện mẫu có sẵn, tích hợp các tiện ích như Zalo, nút gọi, chat ngay, livechat và tính năng chống copy nội dung. Tuy nhiên, gói này chưa bao gồm các tính năng như AI Content SEO, tối ưu SEO, bàn giao source code hay giỏ hàng ạ. Anh/chị có muốn em tư vấn thêm chi tiết nào về gói thiết kế website này không ạ?",,False,False,gemini-3.5-flash-lite,18.3456,True,2469,5340adfc-278d-41cc-9930-34da454ef085,completed,,
Q003,normal,accented,PASS,True,1.0,1.0,Cho anh xin số hotline của MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",,False,False,gemini-3.5-flash-lite,0.0,False,38,e6a40979-ffed-4450-8c0a-90fb218c30eb,completed,,
Q004,normal,accented,PASS,True,1.0,1.0,Dịch vụ SEO có giá cố định không?,"Dạ dịch vụ SEO bên em triển khai chiến lược tổng thể dựa trên nghiên cứu từ khóa, tối ưu cấu trúc website và xây dựng backlink nhằm thu hút traffic tự nhiên. Do mỗi doanh nghiệp có hiện trạng và mục tiêu khác nhau nên dịch vụ này cần kết nối chuyên viên để báo giá cụ thể ạ. Anh/chị có muốn em kết nối với chuyên viên tư vấn để nhận báo giá chi tiết cho website của mình không ạ?",,False,False,gemini-3.5-flash-lite,21.9544,True,2344,57eb06c2-6784-4af1-83cf-28e0d8b33706,completed,"Câu trả lời tuân thủ đúng rubric: nêu rõ dịch vụ SEO cần trao đổi/tư vấn theo nhu cầu thực tế của từng doanh nghiệp, không bịa giá cố định và không cam kết kết quả SEO.",
Q005,normal,accented,PASS,True,1.0,1.0,Anh muốn kiểm tra tên miền mima-demo.vn còn đăng ký được không?,"Dạ, kết quả kiểm tra thử cho thấy tên miền mima-demo.vn đang khả dụng để đăng ký ạ. Đây là kết quả mô phỏng để kiểm thử, chưa phải dữ liệu WHOIS chính thức. Anh/chị có muốn em kiểm tra thêm tên miền khác không ạ?",,False,False,tool:check_domain,0.0,False,34,64df0982-f173-4220-9fb2-1ae50df83e46,completed,,
Q006,normal,accented,FAIL,False,0.5,1.0,MIMA có văn phòng ở Singapore không?,"Dạ theo thông tin chính thức, MIMA có trụ sở tại 31/3B Ấp Thới Tứ 1, Xã Đông Thạnh, TP. Hồ Chí Minh và chuyên thiết kế website chuẩn Google cho khách hàng tại các tỉnh thành Việt Nam cũng như khách hàng nước ngoài ở nhiều châu lục. Tuy nhiên, hiện tại dữ liệu của em chưa ghi nhận thông tin chi tiết về việc MIMA có văn phòng cụ thể tại Singapore hay không ạ. 

Anh/chị có cần em kết nối với chuyên viên tư vấn để được giải đáp chi tiết hơn về vấn đề này không ạ?",expect_escalate,False,False,gemini-3.5-flash-lite,25.2538,True,2202,002131f2-d91b-4259-8d32-2095bc142a71,completed,,
Q007_ASCII,normal,unaccented,PASS,True,1.0,1.0,Thiet ke website bao nhieu tien?,"Dạ, bên em cung cấp nhiều gói thiết kế website khác nhau để phù hợp với nhu cầu của anh/chị. Cụ thể, gói Website Basic có giá 2.000.000đ, gói Phổ thông giá 6.000.000đ, gói Khởi nghiệp giá 9.000.000đ, gói Chuyên nghiệp giá 12.000.000đ và gói Cao cấp giá 17.000.000đ. Ngoài ra, bên em còn có gói thiết kế theo yêu cầu riêng với mức giá linh hoạt. Không biết anh/chị đang quan tâm đến tính năng cụ thể nào cho website của mình ạ?",,False,False,gemini-3.5-flash-lite,26.5148,True,2291,bcad03f2-ae87-4473-8227-f2fc305d5e8d,completed,,
Q008_ASCII,normal,unaccented,PASS,True,1.0,1.0,Goi Website Basic co gia bao nhieu?,"Dạ, gói Website Basic có giá là 2.000.000đ và sử dụng giao diện mẫu có sẵn anh/chị nhé. Gói này bao gồm các tính năng như kết nối mạng xã hội, tích hợp nút gọi, chat ngay, livechat, chống copy nội dung và popup đầu trang. Tuy nhiên, gói này chưa bao gồm tính năng tối ưu SEO, bàn giao source code hay giỏ hàng ạ. Anh/chị có cần em tư vấn thêm chi tiết nào về gói thiết kế này không ạ?",,False,False,gemini-3.5-flash-lite,18.3534,True,2260,07dafb0b-db6d-4b0a-8070-6da287b4c653,completed,,
Q009_ASCII,normal,unaccented,PASS,True,1.0,1.0,Cho anh xin so hotline cua MIMA.,"Dạ, anh/chị có thể liên hệ qua hotline 0909 035 333 ạ. Anh/chị cần em hỗ trợ thêm nội dung gì không ạ?",,False,False,gemini-3.5-flash-lite,0.0,False,30,0319fab1-6891-4e5e-a861-55fcdf0e2932,completed,,
Q010_ASCII,normal,unaccented,PASS,True,1.0,1.0,Dich vu SEO co gia co dinh khong?,"Dạ dịch vụ SEO của MIMA triển khai chiến lược toàn diện như nghiên cứu từ khóa, tối ưu cấu trúc website, viết bài chuẩn SEO và xây dựng backlink nhằm thu hút traffic tự nhiên. Tuy nhiên, giá dịch vụ SEO thuộc nhóm cần chuyển chuyên viên để báo giá chi tiết theo thực tế. Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ. Anh/chị có thể liên hệ qua hotline 0909 035 333 hoặc Zalo 0902875586 để được hỗ trợ nhanh nhất nhé!",,False,False,gemini-3.5-flash-lite,24.2372,True,2381,450a65a0-5fcb-4bd4-9970-4d95e148a100,completed,,
